2025-06-28 11:55:23 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:55:23 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:55:23 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:55:23 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:23 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:23 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (24, 7)
2025-06-28 11:55:23 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:55:23 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:23 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:23 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202505
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202505
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202505/data.parquet, 数据大小: (229, 9)
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (234, 10)
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202505/data.parquet
2025-06-28 11:55:38 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:55:38 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:38 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (0, 7)
2025-06-28 11:55:38 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:38 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (0, 7)
2025-06-28 11:55:38 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:38 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (0, 7)
2025-06-28 11:55:38 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:38 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (35, 7)
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:55:38 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:55:38 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet, 数据大小: (18, 9)
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (34, 10)
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet
2025-06-28 11:56:12 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:56:12 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:56:12 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (28, 7)
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:56:12 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:56:12 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet, 数据大小: (34, 9)
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (39, 10)
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet
2025-06-28 11:56:26 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:56:26 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:56:26 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (34, 7)
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:56:26 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:56:26 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet, 数据大小: (39, 9)
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (53, 10)
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet
2025-06-28 11:56:50 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:56:50 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:56:50 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (39, 7)
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:56:50 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:56:50 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet, 数据大小: (53, 9)
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (71, 10)
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet
2025-06-28 11:57:17 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:57:17 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:57:17 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (0, 7)
2025-06-28 11:57:17 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:57:17 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (0, 7)
2025-06-28 11:57:17 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:57:17 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (29, 7)
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:57:17 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:57:17 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet, 数据大小: (71, 9)
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (83, 10)
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet
2025-06-28 11:57:41 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:57:41 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:57:41 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:57:41 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:57:41 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (18, 9)
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 从文件中获取已存在数据: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet, 数据大小: (83, 9)
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将目标数据与已有数据合并
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 合并后的数据大小: (95, 10)
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 将数据存储到目标文件中: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506/data.parquet
2025-06-28 11:58:03 - dbfile_sugar - INFO - 存储数据成功: aibot_sentimental_sugar_researcher
2025-06-28 11:58:03 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-28 11:58:03 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (30, 7)
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 加载 metadata
2025-06-28 11:58:03 - dbfile_sugar - DEBUG - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 执行分区读取
2025-06-28 11:58:03 - dbfile_sugar - INFO - 成功从 aibot_sentimental_sugar_researcher 读取 dataframe 数据，数据大小: (0, 9)
2025-06-28 11:58:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-28 11:58:17 - dbfile_sugar - DEBUG - [存储 aibot_sentimental_sugar_researcher]: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher
2025-06-28 11:58:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行分区存储
2025-06-28 11:58:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 待存储数据中有 1 个分区
2025-06-28 11:58:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 执行目标分区存储: 202506
2025-06-28 11:58:17 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 创建分区路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase/aibot_sentimental_sugar_researcher/partitionBy=202506
